epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.515752,1.29307,14.1046,1.6076,0.02453,0.36111,0.13254,0.02865,1.48872,14.3897,1.97322,0,0,0.1
2,1.03608,1.28443,13.787,1.56313,0.02459,0.36111,0.13163,0.02822,1.49262,14.3939,1.94952,1.93667e-06,1.93667e-06,0.0990019
3,1.55524,1.31618,14.7275,1.57287,0.02453,0.36111,0.13395,0.04001,1.48755,14.4325,1.92952,3.74667e-06,3.74667e-06,0.0980037
4,1.95438,1.2997,14.6429,1.59161,0.02444,0.36111,0.06201,0.00826,1.50929,13.8219,2.10578,5.43e-06,5.43e-06,0.0970054
5,2.42983,1.17735,14.2965,1.43298,0.02444,0.36111,0.09386,0.02238,1.50264,13.5138,2.18421,6.98667e-06,6.98667e-06,0.096007
6,2.94371,1.15145,12.8492,1.3864,0.01754,0.31944,0.11881,0.03006,1.53391,13.5655,2.32721,8.41667e-06,8.41667e-06,0.0950084
7,3.40522,1.19506,12.3504,1.51405,0.0177,0.31944,0.28149,0.05439,1.48868,13.5977,2.20754,9.72e-06,9.72e-06,0.0940097
8,3.89744,1.26639,12.1099,1.51425,0.01801,0.31944,0.14988,0.02857,1.43405,13.8764,2.09339,1.08967e-05,1.08967e-05,0.0930109
9,4.41845,1.23187,13.1192,1.50633,0.01801,0.31944,0.14988,0.02857,1.43405,13.8764,2.09339,1.19467e-05,1.19467e-05,0.0920119
10,4.87124,1.12698,13.3096,1.34051,0.01813,0.31944,0.14251,0.0278,1.44311,13.7734,2.06051,1.287e-05,1.287e-05,0.0910129
11,5.33257,1.1315,12.2139,1.44468,0.01813,0.31944,0.14251,0.0278,1.44311,13.7734,2.06051,1.36667e-05,1.36667e-05,0.0900137
12,5.87511,1.24183,12.3644,1.56401,0.01572,0.30556,0.14933,0.02831,1.43411,13.7843,2.03058,1.43367e-05,1.43367e-05,0.0890143
13,6.374,1.1484,11.6746,1.46888,0.01572,0.30556,0.14933,0.02831,1.43411,13.7843,2.03058,1.488e-05,1.488e-05,0.0880149
14,6.85646,1.13998,13.5004,1.42531,0.01551,0.30556,0.14112,0.02737,1.44648,13.8003,2.00676,1.52967e-05,1.52967e-05,0.0870153
15,7.31047,1.06066,11.8958,1.37254,0.01551,0.30556,0.14112,0.02737,1.44648,13.8003,2.00676,1.55867e-05,1.55867e-05,0.0860156
